Hora	Tiempo(nSeg)	ECG(V)							
01:27:52 p. m.	73.00	2.19							
01:27:52 p. m.	74.00	2.93							
01:27:52 p. m.	75.00	1.79							
01:27:52 p. m.	76.00	2.72							
01:27:52 p. m.	77.00	2.76							
01:27:52 p. m.	78.00	2.57							
01:27:52 p. m.	79.00	3.05							
01:27:52 p. m.	80.00	2.85							
01:27:52 p. m.	81.00	2.87							
01:27:52 p. m.	82.00	2.83							
01:27:52 p. m.	83.00	2.78							
01:27:52 p. m.	84.00	3.02							
01:27:53 p. m.	85.00	2.53							
01:27:53 p. m.	86.00	2.88							
01:27:53 p. m.	87.00	2.96							
01:27:53 p. m.	88.00	2.85							
01:27:53 p. m.	89.00	2.97							
01:27:53 p. m.	90.00	2.87							
01:27:53 p. m.	91.00	2.75							
01:27:53 p. m.	92.00	2.86							
01:27:53 p. m.	93.00	2.79							
01:27:53 p. m.	94.00	2.87							
01:27:53 p. m.	95.00	2.67							
01:27:53 p. m.	96.00	2.87							
01:27:53 p. m.	97.00	2.69							
01:27:53 p. m.	98.00	2.7							
01:27:53 p. m.	99.00	2.78							
01:27:53 p. m.	100.00	2.77							
01:27:53 p. m.	101.00	2.69							
01:27:53 p. m.	102.00	2.84							
01:27:53 p. m.	103.00	3.28							
01:27:53 p. m.	104.00	2.66							
01:27:53 p. m.	105.00	2.86							
01:27:53 p. m.	106.00	2.38							
01:27:53 p. m.	107.00	2.78							
01:27:53 p. m.	108.00	2.82							
01:27:53 p. m.	109.00	2.68							
01:27:53 p. m.	110.00	2.63							
01:27:53 p. m.	111.00	2.43							
01:27:53 p. m.	112.00	2.78							
01:27:53 p. m.	113.00	2.72							
01:27:53 p. m.	114.00	2.79							
01:27:53 p. m.	115.00	2.73							
01:27:53 p. m.	116.00	2.72							
01:27:53 p. m.	117.00	2.9							
01:27:53 p. m.	118.00	2.86							
01:27:53 p. m.	119.00	2.66							
01:27:53 p. m.	120.00	2.79							
01:27:53 p. m.	121.00	2.71							
01:27:53 p. m.	122.00	2.72							
01:27:53 p. m.	123.00	2.75							
01:27:53 p. m.	124.00	2.7							
01:27:53 p. m.	125.00	2.73							
01:27:53 p. m.	126.00	2.75							
01:27:53 p. m.	127.00	2.76							
01:27:53 p. m.	128.00	2.83							
01:27:53 p. m.	129.00	2.83							
01:27:53 p. m.	130.00	2.69							
01:27:53 p. m.	131.00	2.74							
01:27:53 p. m.	132.00	2.47							
01:27:53 p. m.	133.00	1.76							
01:27:54 p. m.	134.00	3.02							
01:27:54 p. m.	135.00	2.34							
01:27:54 p. m.	136.00	2.76							
01:27:54 p. m.	137.00	3.14							
01:27:54 p. m.	138.00	2.51							
01:27:54 p. m.	139.00	2.59							
01:27:54 p. m.	140.00	2.64							
01:27:54 p. m.	141.00	2.74							
01:27:54 p. m.	142.00	2.87							
01:27:54 p. m.	143.00	2.81							
01:27:54 p. m.	144.00	2.76							
01:27:54 p. m.	145.00	2.8							
01:27:54 p. m.	146.00	2.76							
01:27:54 p. m.	147.00	2.68							
01:27:54 p. m.	148.00	2.95							
01:27:54 p. m.	149.00	2.8							
01:27:54 p. m.	150.00	2.59							
01:27:54 p. m.	151.00	2.49							
01:27:54 p. m.	152.00	2.89							
01:27:54 p. m.	153.00	2.74							
01:27:54 p. m.	154.00	2.78							
01:27:54 p. m.	155.00	2.73							
01:27:54 p. m.	156.00	2.85							
01:27:54 p. m.	157.00	2.73							
01:27:54 p. m.	158.00	2.7							
01:27:54 p. m.	159.00	2.71							
01:27:54 p. m.	160.00	2.83							
01:27:54 p. m.	161.00	2.81							
01:27:54 p. m.	162.00	2.46							
01:27:54 p. m.	163.00	2.36							
01:27:54 p. m.	164.00	2.54							
01:27:54 p. m.	165.00	3.29							
01:27:54 p. m.	166.00	2.13							
01:27:54 p. m.	167.00	2.92							
01:27:54 p. m.	168.00	2.74							
01:27:54 p. m.	169.00	3.08							
01:27:54 p. m.	170.00	2.79							
01:27:54 p. m.	171.00	2.62							
01:27:54 p. m.	172.00	2.95							
01:27:54 p. m.	173.00	2.89							
01:27:54 p. m.	174.00	2.79							
01:27:54 p. m.	175.00	2.72							
01:27:54 p. m.	176.00	2.7							
01:27:54 p. m.	177.00	2.79							
01:27:54 p. m.	178.00	2.76							
01:27:54 p. m.	179.00	2.79							
01:27:54 p. m.	180.00	2.88							
01:27:54 p. m.	181.00	2.79							
01:27:55 p. m.	182.00	2.82							
01:27:55 p. m.	183.00	2.61							
01:27:55 p. m.	184.00	2.8							
01:27:55 p. m.	185.00	2.77							
01:27:55 p. m.	186.00	2.8							
01:27:55 p. m.	187.00	2.62							
01:27:55 p. m.	188.00	2.75							
01:27:55 p. m.	189.00	2.89							
01:27:55 p. m.	190.00	2.56							
01:27:55 p. m.	191.00	3.06							
01:27:55 p. m.	192.00	3.1							
01:27:55 p. m.	193.00	2.09							
01:27:55 p. m.	194.00	2.4							
01:27:55 p. m.	195.00	2.64							
01:27:55 p. m.	196.00	2.55							
01:27:55 p. m.	197.00	2.96							
01:27:55 p. m.	198.00	2.64							
01:27:55 p. m.	199.00	2.57							
01:27:55 p. m.	200.00	3.1							
01:27:55 p. m.	201.00	2.97							
01:27:55 p. m.	202.00	2.74							
01:27:55 p. m.	203.00	2.62							
01:27:55 p. m.	204.00	2.73							
01:27:55 p. m.	205.00	2.85							
01:27:55 p. m.	206.00	2.66							
01:27:55 p. m.	207.00	2.82							
01:27:55 p. m.	208.00	2.64							
01:27:55 p. m.	209.00	2.93							
01:27:55 p. m.	210.00	2.83							
01:27:55 p. m.	211.00	2.74							
01:27:55 p. m.	212.00	2.75							
01:27:55 p. m.	213.00	2.88							
01:27:55 p. m.	214.00	2.82							
01:27:55 p. m.	215.00	2.72							
01:27:55 p. m.	216.00	2.79							
01:27:55 p. m.	217.00	2.78							
01:27:55 p. m.	218.00	3.19							
01:27:55 p. m.	219.00	2.37							
01:27:55 p. m.	220.00	2.07							
01:27:55 p. m.	221.00	3.77							
01:27:55 p. m.	222.00	3.28							
01:27:55 p. m.	223.00	3.18							
01:27:55 p. m.	224.00	2.81							
01:27:55 p. m.	225.00	2.96							
01:27:55 p. m.	226.00	2.81							
01:27:55 p. m.	227.00	2.84							
01:27:55 p. m.	228.00	2.76							
01:27:56 p. m.	229.00	2.77							
01:27:56 p. m.	230.00	2.69							
01:27:56 p. m.	231.00	2.92							
01:27:56 p. m.	232.00	2.73							
01:27:56 p. m.	233.00	2.75							
01:27:56 p. m.	234.00	2.78							
01:27:56 p. m.	235.00	2.82							
01:27:56 p. m.	236.00	2.72							
01:27:56 p. m.	237.00	2.79							
01:27:56 p. m.	238.00	2.82							
