Hora	Tiempo(nSeg)	ECG(V)							
01:28:05 p. m.	692.00	2.72							
01:28:05 p. m.	693.00	2.75							
01:28:05 p. m.	694.00	2.66							
01:28:05 p. m.	695.00	2.83							
01:28:05 p. m.	696.00	2.81							
01:28:05 p. m.	697.00	2.76							
01:28:05 p. m.	698.00	2.87							
01:28:05 p. m.	699.00	2.91							
01:28:05 p. m.	700.00	2.32							
01:28:05 p. m.	701.00	3.67							
01:28:05 p. m.	702.00	3.55							
01:28:05 p. m.	703.00	2.54							
01:28:05 p. m.	704.00	3.03							
01:28:05 p. m.	705.00	2.85							
01:28:05 p. m.	706.00	2.81							
01:28:05 p. m.	707.00	2.56							
01:28:05 p. m.	708.00	2.81							
01:28:05 p. m.	709.00	2.75							
01:28:06 p. m.	710.00	2.84							
01:28:06 p. m.	711.00	2.81							
01:28:06 p. m.	712.00	2.95							
01:28:06 p. m.	713.00	2.76							
01:28:06 p. m.	714.00	2.95							
01:28:06 p. m.	715.00	2.72							
01:28:06 p. m.	716.00	2.81							
01:28:06 p. m.	717.00	2.78							
01:28:06 p. m.	718.00	2.76							
01:28:06 p. m.	719.00	2.83							
01:28:06 p. m.	720.00	2.84							
01:28:06 p. m.	721.00	2.94							
01:28:06 p. m.	722.00	2.87							
01:28:06 p. m.	723.00	2.7							
01:28:06 p. m.	724.00	2.91							
01:28:06 p. m.	725.00	2.73							
01:28:06 p. m.	726.00	2.55							
01:28:06 p. m.	727.00	3.51							
01:28:06 p. m.	728.00	3.15							
01:28:06 p. m.	729.00	2.6							
01:28:06 p. m.	730.00	2.8							
01:28:06 p. m.	731.00	2.86							
01:28:06 p. m.	732.00	2.95							
01:28:06 p. m.	733.00	2.67							
01:28:06 p. m.	734.00	2.83							
01:28:06 p. m.	735.00	2.8							
01:28:06 p. m.	736.00	2.83							
01:28:06 p. m.	737.00	2.82							
01:28:06 p. m.	738.00	2.74							
01:28:06 p. m.	739.00	2.68							
01:28:06 p. m.	740.00	2.78							
01:28:06 p. m.	741.00	2.69							
01:28:06 p. m.	742.00	2.81							
01:28:06 p. m.	743.00	2.77							
01:28:06 p. m.	744.00	2.91							
01:28:06 p. m.	745.00	2.72							
01:28:06 p. m.	746.00	2.73							
01:28:06 p. m.	747.00	2.83							
01:28:06 p. m.	748.00	2.81							
01:28:06 p. m.	749.00	2.94							
01:28:06 p. m.	750.00	2.75							
01:28:06 p. m.	751.00	2.91							
01:28:06 p. m.	752.00	2.82							
01:28:06 p. m.	753.00	2.23							
01:28:06 p. m.	754.00	4.06							
01:28:06 p. m.	755.00	3.5							
01:28:06 p. m.	756.00	3.04							
01:28:06 p. m.	757.00	2.86							
01:28:07 p. m.	758.00	2.72							
01:28:07 p. m.	759.00	2.65							
01:28:07 p. m.	760.00	2.8							
01:28:07 p. m.	761.00	2.82							
01:28:07 p. m.	762.00	2.92							
01:28:07 p. m.	763.00	2.82							
01:28:07 p. m.	764.00	3.45							
01:28:07 p. m.	765.00	2.79							
01:28:07 p. m.	766.00	2.84							
01:28:07 p. m.	767.00	2.89							
01:28:07 p. m.	768.00	2.71							
01:28:07 p. m.	769.00	2.68							
01:28:07 p. m.	770.00	2.79							
01:28:07 p. m.	771.00	2.76							
01:28:07 p. m.	772.00	2.77							
01:28:07 p. m.	773.00	2.67							
01:28:07 p. m.	774.00	2.89							
01:28:07 p. m.	775.00	2.77							
01:28:07 p. m.	776.00	2.8							
01:28:07 p. m.	777.00	2.71							
01:28:07 p. m.	778.00	2.85							
01:28:07 p. m.	779.00	2.77							
01:28:07 p. m.	780.00	3.38							
01:28:07 p. m.	781.00	2.88							
01:28:07 p. m.	782.00	1.94							
01:28:07 p. m.	783.00	2.7							
01:28:07 p. m.	784.00	3.59							
01:28:07 p. m.	785.00	2.67							
01:28:07 p. m.	786.00	2.84							
01:28:07 p. m.	787.00	2.9							
01:28:07 p. m.	788.00	2.84							
01:28:07 p. m.	789.00	2.77							
01:28:07 p. m.	790.00	2.62							
01:28:07 p. m.	791.00	2.91							
01:28:07 p. m.	792.00	2.75							
01:28:07 p. m.	793.00	2.71							
01:28:07 p. m.	794.00	2.8							
01:28:07 p. m.	795.00	2.87							
01:28:07 p. m.	796.00	2.83							
01:28:07 p. m.	797.00	2.86							
01:28:07 p. m.	798.00	2.73							
01:28:07 p. m.	799.00	2.81							
01:28:07 p. m.	800.00	2.77							
01:28:07 p. m.	801.00	2.71							
01:28:07 p. m.	802.00	2.76							
01:28:07 p. m.	803.00	2.58							
01:28:07 p. m.	804.00	2.81							
01:28:07 p. m.	805.00	2.77							
01:28:08 p. m.	806.00	3.03							
01:28:08 p. m.	807.00	2.89							
01:28:08 p. m.	808.00	3.07							
01:28:08 p. m.	809.00	2.6							
01:28:08 p. m.	810.00	1.89							
01:28:08 p. m.	811.00	2.88							
01:28:08 p. m.	812.00	2.84							
01:28:08 p. m.	813.00	2.85							
01:28:08 p. m.	814.00	2.57							
01:28:08 p. m.	815.00	2.78							
01:28:08 p. m.	816.00	2.8							
01:28:08 p. m.	817.00	2.76							
01:28:08 p. m.	818.00	2.83							
01:28:08 p. m.	819.00	2.82							
01:28:08 p. m.	820.00	2.82							
01:28:08 p. m.	821.00	2.73							
01:28:08 p. m.	822.00	2.71							
01:28:08 p. m.	823.00	2.71							
01:28:08 p. m.	824.00	2.84							
01:28:08 p. m.	825.00	2.73							
01:28:08 p. m.	826.00	2.78							
01:28:08 p. m.	827.00	2.82							
01:28:08 p. m.	828.00	2.73							
01:28:08 p. m.	829.00	2.68							
01:28:08 p. m.	830.00	2.76							
01:28:08 p. m.	831.00	2.77							
01:28:08 p. m.	832.00	2.94							
01:28:08 p. m.	833.00	3.47							
01:28:08 p. m.	834.00	3.01							
01:28:08 p. m.	835.00	4.2							
01:28:08 p. m.	836.00	3.16							
01:28:08 p. m.	837.00	2.59							
01:28:08 p. m.	838.00	2.77							
01:28:08 p. m.	839.00	2.79							
01:28:08 p. m.	840.00	2.82							
01:28:08 p. m.	841.00	2.68							
01:28:08 p. m.	842.00	2.51							
01:28:08 p. m.	843.00	2.84							
01:28:08 p. m.	844.00	2.75							
01:28:08 p. m.	845.00	2.61							
01:28:08 p. m.	846.00	3.09							
01:28:08 p. m.	847.00	2.7							
01:28:08 p. m.	848.00	2.78							
01:28:08 p. m.	849.00	2.7							
01:28:08 p. m.	850.00	2.93							
01:28:08 p. m.	851.00	2.63							
01:28:08 p. m.	852.00	2.71							
01:28:08 p. m.	853.00	2.74							
01:28:09 p. m.	854.00	2.75							
01:28:09 p. m.	855.00	2.77							
01:28:09 p. m.	856.00	2.81							
01:28:09 p. m.	857.00	2.46							
01:28:09 p. m.	858.00	2.71							
01:28:09 p. m.	859.00	2.2							
01:28:09 p. m.	860.00	3.15							
01:28:09 p. m.	861.00	2.2							
01:28:09 p. m.	862.00	2.38							
01:28:09 p. m.	863.00	3.7							
01:28:09 p. m.	864.00	2.48							
01:28:09 p. m.	865.00	2.73							
01:28:09 p. m.	866.00	3.01							
01:28:09 p. m.	867.00	2.56							
01:28:09 p. m.	868.00	2.83							
01:28:09 p. m.	869.00	2.84							
01:28:09 p. m.	870.00	2.83							
01:28:09 p. m.	871.00	2.72							
01:28:09 p. m.	872.00	2.68							
01:28:09 p. m.	873.00	2.74							
01:28:09 p. m.	874.00	2.89							
01:28:09 p. m.	875.00	2.76							
01:28:09 p. m.	876.00	2.84							
01:28:09 p. m.	877.00	2.83							
01:28:09 p. m.	878.00	2.74							
01:28:09 p. m.	879.00	2.8							
01:28:09 p. m.	880.00	3.04							
01:28:09 p. m.	881.00	2.9							
01:28:09 p. m.	882.00	2.75							
01:28:09 p. m.	883.00	2.92							
01:28:09 p. m.	884.00	3.49							
01:28:09 p. m.	885.00	2.82							
01:28:09 p. m.	886.00	0							
01:28:09 p. m.	887.00	3.95							
01:28:09 p. m.	888.00	3.48							
01:28:09 p. m.	889.00	3.17							
01:28:09 p. m.	890.00	2.56							
01:28:09 p. m.	891.00	2.55							
01:28:09 p. m.	892.00	2.6							
01:28:09 p. m.	893.00	3.1							
01:28:09 p. m.	894.00	2.6							
01:28:09 p. m.	895.00	2.6							
01:28:09 p. m.	896.00	2.75							
01:28:09 p. m.	897.00	2.66							
01:28:09 p. m.	898.00	2.86							
01:28:09 p. m.	899.00	2.77							
01:28:09 p. m.	900.00	2.81							
01:28:09 p. m.	901.00	2.85							
01:28:10 p. m.	902.00	2.79							
01:28:10 p. m.	903.00	2.83							
01:28:10 p. m.	904.00	2.84							
01:28:10 p. m.	905.00	2.81							
01:28:10 p. m.	906.00	2.8							
01:28:10 p. m.	907.00	2.57							
01:28:10 p. m.	908.00	2.69							
01:28:10 p. m.	909.00	2.76							
01:28:10 p. m.	910.00	2.78							
01:28:10 p. m.	911.00	4.09							
01:28:10 p. m.	912.00	1.99							
01:28:10 p. m.	913.00	2.64							
01:28:10 p. m.	914.00	2							
01:28:10 p. m.	915.00	2.16							
01:28:10 p. m.	916.00	2.59							
01:28:10 p. m.	917.00	3							
01:28:10 p. m.	918.00	3.31							
01:28:10 p. m.	919.00	2.54							
01:28:10 p. m.	920.00	2.86							
01:28:10 p. m.	921.00	2.73							
01:28:10 p. m.	922.00	2.74							
01:28:10 p. m.	923.00	2.9							
01:28:10 p. m.	924.00	2.79							
01:28:10 p. m.	925.00	2.88							
01:28:10 p. m.	926.00	2.76							
01:28:10 p. m.	927.00	2.79							
01:28:10 p. m.	928.00	2.83							
01:28:10 p. m.	929.00	2.91							
01:28:10 p. m.	930.00	2.61							
01:28:10 p. m.	931.00	2.79							
01:28:10 p. m.	932.00	2.81							
01:28:10 p. m.	933.00	2.97							
01:28:10 p. m.	934.00	2.68							
01:28:10 p. m.	935.00	2.79							
01:28:10 p. m.	936.00	2.66							
01:28:10 p. m.	937.00	3.37							
01:28:10 p. m.	938.00	5							
01:28:10 p. m.	939.00	2.53							
01:28:10 p. m.	940.00	2.93							
01:28:10 p. m.	941.00	3.43							
01:28:10 p. m.	942.00	2.77							
01:28:10 p. m.	943.00	2.63							
01:28:10 p. m.	944.00	2.72							
01:28:10 p. m.	945.00	2.82							
01:28:10 p. m.	946.00	2.73							
01:28:10 p. m.	947.00	2.69							
01:28:10 p. m.	948.00	3							
01:28:10 p. m.	949.00	2.88							
01:28:11 p. m.	950.00	2.79							
01:28:11 p. m.	951.00	2.81							
01:28:11 p. m.	952.00	2.78							
01:28:11 p. m.	953.00	2.77							
01:28:11 p. m.	954.00	2.69							
01:28:11 p. m.	955.00	2.81							
01:28:11 p. m.	956.00	2.75							
01:28:11 p. m.	957.00	2.76							
01:28:11 p. m.	958.00	2.79							
01:28:11 p. m.	959.00	2.9							
01:28:11 p. m.	960.00	2.82							
01:28:11 p. m.	961.00	2.84							
01:28:11 p. m.	962.00	2.69							
01:28:11 p. m.	963.00	2.87							
01:28:11 p. m.	964.00	3.17							
01:28:11 p. m.	965.00	1.92							
01:28:11 p. m.	966.00	3.92							
01:28:11 p. m.	967.00	1.71							
01:28:11 p. m.	968.00	3.06							
01:28:11 p. m.	969.00	2.7							
01:28:11 p. m.	970.00	2.77							
01:28:11 p. m.	971.00	2.92							
01:28:11 p. m.	972.00	2.78							
01:28:11 p. m.	973.00	2.99							
01:28:11 p. m.	974.00	2.88							
01:28:11 p. m.	975.00	2.79							
01:28:11 p. m.	976.00	3.14							
01:28:11 p. m.	977.00	2.82							
01:28:11 p. m.	978.00	2.73							
01:28:11 p. m.	979.00	3.04							
01:28:11 p. m.	980.00	2.6							
01:28:11 p. m.	981.00	2.94							
01:28:11 p. m.	982.00	2.81							
01:28:11 p. m.	983.00	2.81							
01:28:11 p. m.	984.00	2.88							
01:28:11 p. m.	985.00	3.45							
01:28:11 p. m.	986.00	2.66							
01:28:11 p. m.	987.00	2.54							
01:28:11 p. m.	988.00	2.41							
01:28:11 p. m.	989.00	2.32							
01:28:11 p. m.	990.00	2.7							
01:28:11 p. m.	991.00	2.76							
01:28:11 p. m.	992.00	3.39							
01:28:11 p. m.	993.00	2.82							
01:28:11 p. m.	994.00	2.77							
01:28:11 p. m.	995.00	2.56							
01:28:11 p. m.	996.00	2.8							
01:28:11 p. m.	997.00	2.79							
01:28:12 p. m.	998.00	2.78							
01:28:12 p. m.	999.00	2.78							
01:28:12 p. m.	1000.00	2.71							
01:28:12 p. m.	1001.00	2.66							
01:28:12 p. m.	1002.00	2.51							
01:28:12 p. m.	1003.00	2.93							
01:28:12 p. m.	1004.00	2.83							
01:28:12 p. m.	1005.00	2.76							
01:28:12 p. m.	1006.00	2.8							
01:28:12 p. m.	1007.00	2.82							
01:28:12 p. m.	1008.00	2.78							
01:28:12 p. m.	1009.00	2.65							
01:28:12 p. m.	1010.00	2.55							
01:28:12 p. m.	1011.00	3.74							
01:28:12 p. m.	1012.00	4.12							
01:28:12 p. m.	1013.00	3.04							
01:28:12 p. m.	1014.00	2.88							
01:28:12 p. m.	1015.00	2.49							
01:28:12 p. m.	1016.00	2.88							
01:28:12 p. m.	1017.00	2.75							
01:28:12 p. m.	1018.00	2.96							
01:28:12 p. m.	1019.00	2.74							
01:28:12 p. m.	1020.00	3.18							
01:28:12 p. m.	1021.00	2.87							
01:28:12 p. m.	1022.00	2.68							
01:28:12 p. m.	1023.00	2.87							
01:28:12 p. m.	1024.00	2.83							
01:28:12 p. m.	1025.00	2.84							
01:28:12 p. m.	1026.00	2.81							
01:28:12 p. m.	1027.00	2.81							
01:28:12 p. m.	1028.00	2.82							
01:28:12 p. m.	1029.00	2.81							
01:28:12 p. m.	1030.00	2.83							
01:28:12 p. m.	1031.00	2.82							
01:28:12 p. m.	1032.00	2.72							
01:28:12 p. m.	1033.00	2.8							
01:28:12 p. m.	1034.00	3.8							
01:28:12 p. m.	1035.00	2.47							
01:28:12 p. m.	1036.00	2.82							
01:28:12 p. m.	1037.00	3.24							
01:28:12 p. m.	1038.00	3.25							
01:28:12 p. m.	1039.00	2.67							
01:28:12 p. m.	1040.00	2.86							
01:28:12 p. m.	1041.00	2.53							
01:28:12 p. m.	1042.00	2.9							
01:28:12 p. m.	1043.00	2.72							
01:28:13 p. m.	1044.00	3.08							
01:28:13 p. m.	1045.00	2.76							
01:28:13 p. m.	1046.00	3.07							
01:28:13 p. m.	1047.00	2.7							
01:28:13 p. m.	1048.00	3							
01:28:13 p. m.	1049.00	2.83							
01:28:13 p. m.	1050.00	2.81							
01:28:13 p. m.	1051.00	2.71							
01:28:13 p. m.	1052.00	2.85							
01:28:13 p. m.	1053.00	2.83							
01:28:13 p. m.	1054.00	3.27							
01:28:13 p. m.	1055.00	2.71							
01:28:13 p. m.	1056.00	3.05							
01:28:13 p. m.	1057.00	3.05							
01:28:13 p. m.	1058.00	2.22							
01:28:13 p. m.	1059.00	2.51							
01:28:13 p. m.	1060.00	2.61							
01:28:13 p. m.	1061.00	2.92							
01:28:13 p. m.	1062.00	2.84							
01:28:13 p. m.	1063.00	2.84							
01:28:13 p. m.	1064.00	2.91							
01:28:13 p. m.	1065.00	2.84							
01:28:13 p. m.	1066.00	2.75							
01:28:13 p. m.	1067.00	2.98							
01:28:13 p. m.	1068.00	2.77							
01:28:13 p. m.	1069.00	2.88							
01:28:13 p. m.	1070.00	3.39							
01:28:13 p. m.	1071.00	2.18							
01:28:13 p. m.	1072.00	3.27							
01:28:13 p. m.	1073.00	3							
01:28:13 p. m.	1074.00	3.06							
01:28:13 p. m.	1075.00	2.73							
01:28:13 p. m.	1076.00	2.8							
01:28:13 p. m.	1077.00	3.02							
01:28:13 p. m.	1078.00	2.94							
01:28:13 p. m.	1079.00	3.03							
01:28:13 p. m.	1080.00	2.72							
01:28:13 p. m.	1081.00	2.84							
01:28:13 p. m.	1082.00	2.72							
01:28:13 p. m.	1083.00	2.91							
01:28:13 p. m.	1084.00	2.76							
01:28:13 p. m.	1085.00	2.71							
01:28:13 p. m.	1086.00	2.76							
01:28:13 p. m.	1087.00	2.79							
01:28:13 p. m.	1088.00	2.83							
01:28:13 p. m.	1089.00	2.79							
01:28:14 p. m.	1090.00	2.75							
01:28:14 p. m.	1091.00	2.73							
01:28:14 p. m.	1092.00	2.84							
01:28:14 p. m.	1093.00	2.83							
01:28:14 p. m.	1094.00	2.83							
01:28:14 p. m.	1095.00	2.93							
01:28:14 p. m.	1096.00	2.61							
01:28:14 p. m.	1097.00	2.72							
01:28:14 p. m.	1098.00	3.07							
01:28:14 p. m.	1099.00	2.34							
01:28:14 p. m.	1100.00	2.2							
01:28:14 p. m.	1101.00	2.99							
01:28:14 p. m.	1102.00	2.76							
01:28:14 p. m.	1103.00	2.98							
01:28:14 p. m.	1104.00	2.45							
01:28:14 p. m.	1105.00	3.12							
01:28:14 p. m.	1106.00	2.8							
01:28:14 p. m.	1107.00	2.77							
01:28:14 p. m.	1108.00	2.81							
01:28:14 p. m.	1109.00	2.8							
01:28:14 p. m.	1110.00	3							
01:28:14 p. m.	1111.00	2.77							
01:28:14 p. m.	1112.00	2.61							
01:28:14 p. m.	1113.00	3.15							
01:28:14 p. m.	1114.00	3.51							
01:28:14 p. m.	1115.00	2.98							
01:28:14 p. m.	1116.00	2.11							
01:28:14 p. m.	1117.00	2.74							
01:28:14 p. m.	1118.00	2.92							
01:28:14 p. m.	1119.00	2.65							
01:28:14 p. m.	1120.00	3.23							
01:28:14 p. m.	1121.00	2.38							
01:28:14 p. m.	1122.00	2.89							
01:28:14 p. m.	1123.00	2.46							
01:28:14 p. m.	1124.00	3.08							
01:28:14 p. m.	1125.00	2.85							
01:28:14 p. m.	1126.00	2.84							
01:28:14 p. m.	1127.00	3							
01:28:14 p. m.	1128.00	2.52							
01:28:14 p. m.	1129.00	2.21							
01:28:14 p. m.	1130.00	2.7							
01:28:14 p. m.	1131.00	2.55							
01:28:14 p. m.	1132.00	2.67							
01:28:14 p. m.	1133.00	2.61							
01:28:14 p. m.	1134.00	2.61							
01:28:14 p. m.	1135.00	2.78							
01:28:15 p. m.	1136.00	2.43							
01:28:15 p. m.	1137.00	2.67							
01:28:15 p. m.	1138.00	2.71							
01:28:15 p. m.	1139.00	2.78							
01:28:15 p. m.	1140.00	3.52							
01:28:15 p. m.	1141.00	2.1							
01:28:15 p. m.	1142.00	2.32							
01:28:15 p. m.	1143.00	3.3							
01:28:15 p. m.	1144.00	2.76							
01:28:15 p. m.	1145.00	2.47							
01:28:15 p. m.	1146.00	2.89							
01:28:15 p. m.	1147.00	3.44							
01:28:15 p. m.	1148.00	2.74							
01:28:15 p. m.	1149.00	2.79							
01:28:15 p. m.	1150.00	2.44							
01:28:15 p. m.	1151.00	2.66							
01:28:15 p. m.	1152.00	2.9							
01:28:15 p. m.	1153.00	2.27							
01:28:15 p. m.	1154.00	2.97							
01:28:15 p. m.	1155.00	1.09							
01:28:15 p. m.	1156.00	2.24							
01:28:15 p. m.	1157.00	2.76							
01:28:15 p. m.	1158.00	2.91							
01:28:15 p. m.	1159.00	2.73							
01:28:15 p. m.	1160.00	2.61							
01:28:15 p. m.	1161.00	2.62							
01:28:15 p. m.	1162.00	3.49							
01:28:15 p. m.	1163.00	2.86							
01:28:15 p. m.	1164.00	2.75							
01:28:15 p. m.	1165.00	2.73							
01:28:15 p. m.	1166.00	2.99							
01:28:15 p. m.	1167.00	2.27							
01:28:15 p. m.	1168.00	2.23							
01:28:15 p. m.	1169.00	2.66							
01:28:15 p. m.	1170.00	2.73							
01:28:15 p. m.	1171.00	2.64							
01:28:15 p. m.	1172.00	2.8							
01:28:15 p. m.	1173.00	3.47							
01:28:15 p. m.	1174.00	2.74							
01:28:15 p. m.	1175.00	2.91							
01:28:15 p. m.	1176.00	2.77							
01:28:15 p. m.	1177.00	2.84							
01:28:15 p. m.	1178.00	2.82							
01:28:15 p. m.	1179.00	2.25							
01:28:15 p. m.	1180.00	2.12							
01:28:16 p. m.	1181.00	2.2							
01:28:16 p. m.	1182.00	2.23							
01:28:16 p. m.	1183.00	2.63							
01:28:16 p. m.	1184.00	2.85							
01:28:16 p. m.	1185.00	2.91							
01:28:16 p. m.	1186.00	3.23							
01:28:16 p. m.	1187.00	2.36							
01:28:16 p. m.	1188.00	2.76							
01:28:16 p. m.	1189.00	2.76							
01:28:16 p. m.	1190.00	2.93							
01:28:16 p. m.	1191.00	1.7							
01:28:16 p. m.	1192.00	2.36							
01:28:16 p. m.	1193.00	1.27							
01:28:16 p. m.	1194.00	2.55							
01:28:16 p. m.	1195.00	2.6							
01:28:16 p. m.	1196.00	2.88							
01:28:16 p. m.	1197.00	2.93							
01:28:16 p. m.	1198.00	2.62							
01:28:16 p. m.	1199.00	2.85							
01:28:16 p. m.	1200.00	2.59							
01:28:16 p. m.	1201.00	2.82							
01:28:16 p. m.	1202.00	2.97							
01:28:16 p. m.	1203.00	2.47							
01:28:16 p. m.	1204.00	2.79							
01:28:16 p. m.	1205.00	2.05							
01:28:16 p. m.	1206.00	2.93							
01:28:16 p. m.	1207.00	3.21							
01:28:16 p. m.	1208.00	2.81							
01:28:16 p. m.	1209.00	2.73							
01:28:16 p. m.	1210.00	3.59							
01:28:16 p. m.	1211.00	2.65							
01:28:16 p. m.	1212.00	2.79							
01:28:16 p. m.	1213.00	2.99							
01:28:16 p. m.	1214.00	2.51							
01:28:16 p. m.	1215.00	2.54							
01:28:16 p. m.	1216.00	2.84							
01:28:16 p. m.	1217.00	2.94							
01:28:16 p. m.	1218.00	2.59							
01:28:16 p. m.	1219.00	2.91							
01:28:16 p. m.	1220.00	2.02							
01:28:16 p. m.	1221.00	2.31							
01:28:16 p. m.	1222.00	2.79							
01:28:16 p. m.	1223.00	2.86							
01:28:16 p. m.	1224.00	2.68							
01:28:16 p. m.	1225.00	2.39							
01:28:16 p. m.	1226.00	2.66							
01:28:16 p. m.	1227.00	2.51							
01:28:17 p. m.	1228.00	2.69							
01:28:17 p. m.	1229.00	2.71							
01:28:17 p. m.	1230.00	2.85							
01:28:17 p. m.	1231.00	2.77							
01:28:17 p. m.	1232.00	2.84							
01:28:17 p. m.	1233.00	2.8							
01:28:17 p. m.	1234.00	2.73							
01:28:17 p. m.	1235.00	2.7							
01:28:17 p. m.	1236.00	2.82							
01:28:17 p. m.	1237.00	2.76							
01:28:17 p. m.	1238.00	2.79							
01:28:17 p. m.	1239.00	2.78							
01:28:17 p. m.	1240.00	2.79							
01:28:17 p. m.	1241.00	2.78							
01:28:17 p. m.	1242.00	2.64							
01:28:17 p. m.	1243.00	2.8							
01:28:17 p. m.	1244.00	2.71							
01:28:17 p. m.	1245.00	2.77							
01:28:17 p. m.	1246.00	2.87							
01:28:17 p. m.	1247.00	2.73							
01:28:17 p. m.	1248.00	2.79							
01:28:17 p. m.	1249.00	2.79							
01:28:17 p. m.	1250.00	2.8							
01:28:17 p. m.	1251.00	2.79							
01:28:17 p. m.	1252.00	2.74							
01:28:17 p. m.	1253.00	2.76							
01:28:17 p. m.	1254.00	2.79							
01:28:17 p. m.	1255.00	2.79							
01:28:17 p. m.	1256.00	2.86							
01:28:17 p. m.	1257.00	2.81							
01:28:17 p. m.	1258.00	2.88							
01:28:17 p. m.	1259.00	2.74							
01:28:17 p. m.	1260.00	2.77							
01:28:17 p. m.	1261.00	2.74							
01:28:17 p. m.	1262.00	2.78							
01:28:17 p. m.	1263.00	2.74							
01:28:17 p. m.	1264.00	2.76							
01:28:17 p. m.	1265.00	2.77							
01:28:17 p. m.	1266.00	2.75							
01:28:17 p. m.	1267.00	2.65							
01:28:17 p. m.	1268.00	2.83							
01:28:17 p. m.	1269.00	2.59							
01:28:17 p. m.	1270.00	2.74							
01:28:17 p. m.	1271.00	2.8							
01:28:17 p. m.	1272.00	2.75							
01:28:18 p. m.	1273.00	2.81							
01:28:18 p. m.	1274.00	2.79							
01:28:18 p. m.	1275.00	2.93							
01:28:18 p. m.	1276.00	2.49							
01:28:18 p. m.	1277.00	3.89							
01:28:18 p. m.	1278.00	3.31							
01:28:18 p. m.	1279.00	2.83							
01:28:18 p. m.	1280.00	2.8							
01:28:18 p. m.	1281.00	2.74							
01:28:18 p. m.	1282.00	3.02							
01:28:18 p. m.	1283.00	2.78							
01:28:18 p. m.	1284.00	3.19							
01:28:18 p. m.	1285.00	2.91							
01:28:18 p. m.	1286.00	2.85							
01:28:18 p. m.	1287.00	2.8							
01:28:18 p. m.	1288.00	2.77							
01:28:18 p. m.	1289.00	2.82							
01:28:18 p. m.	1290.00	2.8							
01:28:18 p. m.	1291.00	2.77							
01:28:18 p. m.	1292.00	2.63							
01:28:18 p. m.	1293.00	2.86							
01:28:18 p. m.	1294.00	2.82							
01:28:18 p. m.	1295.00	2.88							
01:28:18 p. m.	1296.00	2.73							
01:28:18 p. m.	1297.00	2.69							
01:28:18 p. m.	1298.00	2.25							
01:28:18 p. m.	1299.00	2.53							
01:28:18 p. m.	1300.00	2.31							
01:28:18 p. m.	1301.00	2.49							
01:28:18 p. m.	1302.00	2.52							
01:28:18 p. m.	1303.00	2.79							
01:28:18 p. m.	1304.00	2.87							
01:28:18 p. m.	1305.00	2.75							
01:28:18 p. m.	1306.00	2.78							
01:28:18 p. m.	1307.00	2.92							
01:28:18 p. m.	1308.00	2.75							
01:28:18 p. m.	1309.00	2.72							
01:28:18 p. m.	1310.00	2.79							
01:28:18 p. m.	1311.00	2.71							
01:28:18 p. m.	1312.00	2.81							
01:28:18 p. m.	1313.00	2.8							
01:28:18 p. m.	1314.00	2.74							
01:28:18 p. m.	1315.00	2.75							
01:28:18 p. m.	1316.00	2.69							
01:28:18 p. m.	1317.00	2.72							
01:28:18 p. m.	1318.00	2.77							
01:28:19 p. m.	1319.00	2.7							
01:28:19 p. m.	1320.00	2.9							
01:28:19 p. m.	1321.00	2.75							
01:28:19 p. m.	1322.00	2.73							
01:28:19 p. m.	1323.00	3							
01:28:19 p. m.	1324.00	2.65							
01:28:19 p. m.	1325.00	3.91							
01:28:19 p. m.	1326.00	2.51							
01:28:19 p. m.	1327.00	2.79							
01:28:19 p. m.	1328.00	2.84							
01:28:19 p. m.	1329.00	2.82							
01:28:19 p. m.	1330.00	2.75							
01:28:19 p. m.	1331.00	2.84							
01:28:19 p. m.	1332.00	2.79							
01:28:19 p. m.	1333.00	2.78							
01:28:19 p. m.	1334.00	2.85							
01:28:19 p. m.	1335.00	2.75							
01:28:19 p. m.	1336.00	2.72							
01:28:19 p. m.	1337.00	2.61							
01:28:19 p. m.	1338.00	2.78							
01:28:19 p. m.	1339.00	2.84							
01:28:19 p. m.	1340.00	2.72							
01:28:19 p. m.	1341.00	2.84							
01:28:19 p. m.	1342.00	2.72							
01:28:19 p. m.	1343.00	2.74							
01:28:19 p. m.	1344.00	2.46							
01:28:19 p. m.	1345.00	4.42							
01:28:19 p. m.	1346.00	2.53							
01:28:19 p. m.	1347.00	3.31							
01:28:19 p. m.	1348.00	3.15							
01:28:19 p. m.	1349.00	2.95							
01:28:19 p. m.	1350.00	2.83							
01:28:19 p. m.	1351.00	2.39							
01:28:19 p. m.	1352.00	2.79							
01:28:19 p. m.	1353.00	2.92							
01:28:19 p. m.	1354.00	2.82							
01:28:19 p. m.	1355.00	2.86							
01:28:19 p. m.	1356.00	2.68							
01:28:19 p. m.	1357.00	2.8							
01:28:19 p. m.	1358.00	2.81							
01:28:19 p. m.	1359.00	2.89							
01:28:19 p. m.	1360.00	2.74							
01:28:19 p. m.	1361.00	2.82							
01:28:19 p. m.	1362.00	2.85							
01:28:19 p. m.	1363.00	2.77							
01:28:20 p. m.	1364.00	2.85							
01:28:20 p. m.	1365.00	2.78							
01:28:20 p. m.	1366.00	2.8							
01:28:20 p. m.	1367.00	2.95							
01:28:20 p. m.	1368.00	2.74							
01:28:20 p. m.	1369.00	2.79							
01:28:20 p. m.	1370.00	2.8							
01:28:20 p. m.	1371.00	2.65							
01:28:20 p. m.	1372.00	2.96							
