Hora	Tiempo(nSeg)	ECG(V)							
01:32:30 p. m.	697.00	4.63							
01:32:30 p. m.	698.00	2.61							
01:32:30 p. m.	699.00	0.94							
01:32:30 p. m.	700.00	3.29							
01:32:30 p. m.	701.00	2.72							
01:32:30 p. m.	702.00	2.67							
01:32:30 p. m.	703.00	2.75							
01:32:30 p. m.	704.00	2.76							
01:32:30 p. m.	705.00	2.87							
01:32:30 p. m.	706.00	2.67							
01:32:30 p. m.	707.00	2.79							
01:32:30 p. m.	708.00	2.69							
01:32:30 p. m.	709.00	2.83							
01:32:30 p. m.	710.00	2.79							
01:32:30 p. m.	711.00	2.76							
01:32:30 p. m.	712.00	2.77							
01:32:30 p. m.	713.00	2.79							
01:32:30 p. m.	714.00	2.73							
01:32:30 p. m.	715.00	2.79							
01:32:30 p. m.	716.00	2.76							
01:32:30 p. m.	717.00	2.82							
01:32:30 p. m.	718.00	2.75							
01:32:30 p. m.	719.00	2.81							
01:32:30 p. m.	720.00	2.68							
01:32:30 p. m.	721.00	3.19							
01:32:30 p. m.	722.00	4.5							
01:32:30 p. m.	723.00	1.98							
01:32:30 p. m.	724.00	2.84							
01:32:30 p. m.	725.00	2.7							
01:32:30 p. m.	726.00	2.78							
01:32:30 p. m.	727.00	2.84							
01:32:30 p. m.	728.00	2.81							
01:32:30 p. m.	729.00	2.78							
01:32:30 p. m.	730.00	2.71							
01:32:30 p. m.	731.00	2.85							
01:32:30 p. m.	732.00	2.77							
01:32:30 p. m.	733.00	2.84							
01:32:31 p. m.	734.00	2.83							
01:32:31 p. m.	735.00	2.74							
01:32:31 p. m.	736.00	2.82							
01:32:31 p. m.	737.00	2.85							
01:32:31 p. m.	738.00	2.81							
01:32:31 p. m.	739.00	2.87							
01:32:31 p. m.	740.00	2.75							
01:32:31 p. m.	741.00	2.79							
01:32:31 p. m.	742.00	2.82							
01:32:31 p. m.	743.00	2.77							
01:32:31 p. m.	744.00	2.82							
01:32:31 p. m.	745.00	2.87							
01:32:31 p. m.	746.00	2.78							
01:32:31 p. m.	747.00	2.82							
01:32:31 p. m.	748.00	2.7							
01:32:31 p. m.	749.00	2.63							
01:32:31 p. m.	750.00	2.19							
01:32:31 p. m.	751.00	2.35							
01:32:31 p. m.	752.00	2.39							
01:32:31 p. m.	753.00	3.32							
01:32:31 p. m.	754.00	2.93							
01:32:31 p. m.	755.00	2.76							
01:32:31 p. m.	756.00	2.64							
01:32:31 p. m.	757.00	2.89							
01:32:31 p. m.	758.00	2.73							
01:32:31 p. m.	759.00	2.66							
01:32:31 p. m.	760.00	2.69							
01:32:31 p. m.	761.00	2.78							
01:32:31 p. m.	762.00	2.75							
01:32:31 p. m.	763.00	2.73							
01:32:31 p. m.	764.00	2.85							
01:32:31 p. m.	765.00	2.76							
01:32:31 p. m.	766.00	2.81							
01:32:31 p. m.	767.00	2.72							
01:32:31 p. m.	768.00	2.86							
01:32:31 p. m.	769.00	2.78							
01:32:31 p. m.	770.00	2.79							
01:32:31 p. m.	771.00	2.79							
01:32:31 p. m.	772.00	2.8							
01:32:31 p. m.	773.00	2.77							
01:32:31 p. m.	774.00	2.77							
01:32:31 p. m.	775.00	2.68							
01:32:31 p. m.	776.00	2.75							
01:32:31 p. m.	777.00	2.76							
01:32:31 p. m.	778.00	2.77							
01:32:31 p. m.	779.00	2.58							
01:32:31 p. m.	780.00	2.56							
01:32:31 p. m.	781.00	2.5							
01:32:32 p. m.	782.00	2.77							
01:32:32 p. m.	783.00	2.36							
01:32:32 p. m.	784.00	2.03							
01:32:32 p. m.	785.00	1.41							
01:32:32 p. m.	786.00	3.35							
01:32:32 p. m.	787.00	2.83							
01:32:32 p. m.	788.00	2.72							
01:32:32 p. m.	789.00	2.83							
01:32:32 p. m.	790.00	2.73							
01:32:32 p. m.	791.00	2.75							
01:32:32 p. m.	792.00	2.7							
01:32:32 p. m.	793.00	2.83							
01:32:32 p. m.	794.00	2.83							
01:32:32 p. m.	795.00	2.7							
01:32:32 p. m.	796.00	2.79							
01:32:32 p. m.	797.00	2.81							
01:32:32 p. m.	798.00	2.75							
01:32:32 p. m.	799.00	2.64							
01:32:32 p. m.	800.00	2.73							
01:32:32 p. m.	801.00	2.71							
01:32:32 p. m.	802.00	2.83							
01:32:32 p. m.	803.00	2.73							
01:32:32 p. m.	804.00	2.75							
01:32:32 p. m.	805.00	2.92							
01:32:32 p. m.	806.00	2.75							
01:32:32 p. m.	807.00	2.89							
01:32:32 p. m.	808.00	2.73							
01:32:32 p. m.	809.00	2.95							
01:32:32 p. m.	810.00	2.76							
01:32:32 p. m.	811.00	2.83							
01:32:32 p. m.	812.00	2.94							
01:32:32 p. m.	813.00	2.4							
01:32:32 p. m.	814.00	2.31							
01:32:32 p. m.	815.00	2.73							
01:32:32 p. m.	816.00	2.76							
01:32:32 p. m.	817.00	2.78							
01:32:32 p. m.	818.00	0							
01:32:32 p. m.	819.00	0							
01:32:32 p. m.	820.00	3.36							
01:32:32 p. m.	821.00	2.56							
01:32:32 p. m.	822.00	2.67							
01:32:32 p. m.	823.00	2.21							
01:32:32 p. m.	824.00	2.8							
01:32:32 p. m.	825.00	2.81							
01:32:32 p. m.	826.00	2.87							
01:32:32 p. m.	827.00	2.72							
01:32:32 p. m.	828.00	2.79							
01:32:32 p. m.	829.00	2.71							
01:32:33 p. m.	830.00	2.45							
01:32:33 p. m.	831.00	2.91							
01:32:33 p. m.	832.00	2.78							
01:32:33 p. m.	833.00	2.79							
01:32:33 p. m.	834.00	2.77							
01:32:33 p. m.	835.00	2.73							
01:32:33 p. m.	836.00	2.92							
01:32:33 p. m.	837.00	2.86							
01:32:33 p. m.	838.00	2.68							
01:32:33 p. m.	839.00	2.82							
01:32:33 p. m.	840.00	2.84							
01:32:33 p. m.	841.00	2.93							
01:32:33 p. m.	842.00	2.42							
01:32:33 p. m.	843.00	3.66							
01:32:33 p. m.	844.00	2.6							
01:32:33 p. m.	845.00	2.69							
01:32:33 p. m.	846.00	2.43							
01:32:33 p. m.	847.00	3.31							
01:32:33 p. m.	848.00	5							
01:32:33 p. m.	849.00	3.31							
01:32:33 p. m.	850.00	3.03							
01:32:33 p. m.	851.00	3.05							
01:32:33 p. m.	852.00	2.46							
01:32:33 p. m.	853.00	2.54							
01:32:33 p. m.	854.00	3.19							
01:32:33 p. m.	855.00	2.83							
01:32:33 p. m.	856.00	2.91							
01:32:33 p. m.	857.00	2.79							
01:32:33 p. m.	858.00	2.78							
01:32:33 p. m.	859.00	2.73							
01:32:33 p. m.	860.00	2.77							
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
			2.76						
