Hora	Tiempo(nSeg)	ECG(V)							
01:32:18 p. m.	141.00	2.64							
01:32:18 p. m.	142.00	2.79							
01:32:18 p. m.	143.00	2.87							
01:32:18 p. m.	144.00	2.88							
01:32:18 p. m.	145.00	2.77							
01:32:18 p. m.	146.00	2.67							
01:32:18 p. m.	147.00	2.79							
01:32:18 p. m.	148.00	2.87							
01:32:18 p. m.	149.00	2.68							
01:32:18 p. m.	150.00	2.85							
01:32:18 p. m.	151.00	2.8							
01:32:18 p. m.	152.00	2.72							
01:32:18 p. m.	153.00	2.67							
01:32:18 p. m.	154.00	2.82							
01:32:18 p. m.	155.00	2.83							
01:32:18 p. m.	156.00	2.57							
01:32:18 p. m.	157.00	2.78							
01:32:19 p. m.	158.00	2.46							
01:32:19 p. m.	159.00	1.95							
01:32:19 p. m.	160.00	5							
01:32:19 p. m.	161.00	3.36							
01:32:19 p. m.	162.00	2.85							
01:32:19 p. m.	163.00	2.85							
01:32:19 p. m.	164.00	2.74							
01:32:19 p. m.	165.00	2.65							
01:32:19 p. m.	166.00	2.88							
01:32:19 p. m.	167.00	2.85							
01:32:19 p. m.	168.00	2.7							
01:32:19 p. m.	169.00	2.77							
01:32:19 p. m.	170.00	2.76							
01:32:19 p. m.	171.00	2.69							
01:32:19 p. m.	172.00	2.73							
01:32:19 p. m.	173.00	2.67							
01:32:19 p. m.	174.00	3.06							
01:32:19 p. m.	175.00	2.74							
01:32:19 p. m.	176.00	3.07							
01:32:19 p. m.	177.00	2.81							
01:32:19 p. m.	178.00	2.8							
01:32:19 p. m.	179.00	2.82							
01:32:19 p. m.	180.00	2.57							
01:32:19 p. m.	181.00	2.82							
01:32:19 p. m.	182.00	2.81							
01:32:19 p. m.	183.00	2.72							
01:32:19 p. m.	184.00	2.76							
01:32:19 p. m.	185.00	2.74							
01:32:19 p. m.	186.00	2.91							
01:32:19 p. m.	187.00	2.77							
01:32:19 p. m.	188.00	2.75							
01:32:19 p. m.	189.00	2.58							
01:32:19 p. m.	190.00	2.87							
01:32:19 p. m.	191.00	2.96							
01:32:19 p. m.	192.00	2.54							
01:32:19 p. m.	193.00	5							
01:32:19 p. m.	194.00	3.65							
01:32:19 p. m.	195.00	2.86							
01:32:19 p. m.	196.00	2.76							
01:32:19 p. m.	197.00	2.72							
01:32:19 p. m.	198.00	2.83							
01:32:19 p. m.	199.00	2.83							
01:32:19 p. m.	200.00	2.73							
01:32:19 p. m.	201.00	2.79							
01:32:19 p. m.	202.00	2.85							
01:32:19 p. m.	203.00	2.85							
01:32:19 p. m.	204.00	2.78							
01:32:19 p. m.	205.00	2.78							
01:32:20 p. m.	206.00	2.8							
01:32:20 p. m.	207.00	2.8							
01:32:20 p. m.	208.00	2.76							
01:32:20 p. m.	209.00	2.8							
01:32:20 p. m.	210.00	2.86							
01:32:20 p. m.	211.00	2.8							
01:32:20 p. m.	212.00	2.75							
01:32:20 p. m.	213.00	2.75							
01:32:20 p. m.	214.00	2.68							
01:32:20 p. m.	215.00	2.94							
01:32:20 p. m.	216.00	2.92							
01:32:20 p. m.	217.00	2.52							
01:32:20 p. m.	218.00	5							
01:32:20 p. m.	219.00	3.29							
01:32:20 p. m.	220.00	2.64							
01:32:20 p. m.	221.00	3.76							
01:32:20 p. m.	222.00	2.65							
01:32:20 p. m.	223.00	2.8							
01:32:20 p. m.	224.00	2.83							
01:32:20 p. m.	225.00	2.84							
01:32:20 p. m.	226.00	2.87							
01:32:20 p. m.	227.00	2.87							
01:32:20 p. m.	228.00	2.78							
01:32:20 p. m.	229.00	2.82							
01:32:20 p. m.	230.00	2.62							
01:32:20 p. m.	231.00	2.75							
01:32:20 p. m.	232.00	2.82							
01:32:20 p. m.	233.00	2.81							
01:32:20 p. m.	234.00	2.83							
01:32:20 p. m.	235.00	2.77							
01:32:20 p. m.	236.00	2.93							
01:32:20 p. m.	237.00	2.78							
01:32:20 p. m.	238.00	2.63							
01:32:20 p. m.	239.00	2.75							
01:32:20 p. m.	240.00	2.81							
01:32:20 p. m.	241.00	2.76							
01:32:20 p. m.	242.00	2.79							
01:32:20 p. m.	243.00	2.86							
01:32:20 p. m.	244.00	2.72							
01:32:20 p. m.	245.00	2.69							
01:32:20 p. m.	246.00	1.98							
01:32:20 p. m.	247.00	2.07							
01:32:20 p. m.	248.00	4.23							
01:32:20 p. m.	249.00	2.72							
01:32:20 p. m.	250.00	2.31							
01:32:20 p. m.	251.00	2.68							
01:32:20 p. m.	252.00	2.81							
01:32:20 p. m.	253.00	2.64							
01:32:21 p. m.	254.00	2.55							
01:32:21 p. m.	255.00	2.84							
01:32:21 p. m.	256.00	2.91							
01:32:21 p. m.	257.00	2.86							
01:32:21 p. m.	258.00	2.76							
01:32:21 p. m.	259.00	2.9							
01:32:21 p. m.	260.00	2.78							
01:32:21 p. m.	261.00	2.73							
01:32:21 p. m.	262.00	2.78							
01:32:21 p. m.	263.00	2.75							
01:32:21 p. m.	264.00	2.79							
01:32:21 p. m.	265.00	2.85							
01:32:21 p. m.	266.00	2.62							
01:32:21 p. m.	267.00	2.84							
01:32:21 p. m.	268.00	2.78							
01:32:21 p. m.	269.00	2.73							
01:32:21 p. m.	270.00	2.68							
01:32:21 p. m.	271.00	2.72							
01:32:21 p. m.	272.00	2.7							
01:32:21 p. m.	273.00	2.68							
01:32:21 p. m.	274.00	4.17							
01:32:21 p. m.	275.00	2.19							
01:32:21 p. m.	276.00	5							
01:32:21 p. m.	277.00	3.9							
01:32:21 p. m.	278.00	2.49							
01:32:21 p. m.	279.00	3.32							
01:32:21 p. m.	280.00	2.88							
01:32:21 p. m.	281.00	2.77							
01:32:21 p. m.	282.00	2.78							
01:32:21 p. m.	283.00	2.75							
01:32:21 p. m.	284.00	2.75							
01:32:21 p. m.	285.00	2.77							
01:32:21 p. m.	286.00	2.71							
01:32:21 p. m.	287.00	2.78							
01:32:21 p. m.	288.00	2.85							
01:32:21 p. m.	289.00	2.8							
01:32:21 p. m.	290.00	2.73							
01:32:21 p. m.	291.00	2.88							
01:32:21 p. m.	292.00	2.85							
01:32:21 p. m.	293.00	2.79							
01:32:21 p. m.	294.00	2.72							
01:32:21 p. m.	295.00	2.83							
01:32:21 p. m.	296.00	2.76							
01:32:21 p. m.	297.00	2.77							
01:32:21 p. m.	298.00	2.75							
01:32:21 p. m.	299.00	2.79							
01:32:21 p. m.	300.00	2.91							
01:32:21 p. m.	301.00	2.7							
01:32:22 p. m.	302.00	3.3							
01:32:22 p. m.	303.00	2.07							
01:32:22 p. m.	304.00	2.45							
01:32:22 p. m.	305.00	2.59							
01:32:22 p. m.	306.00	3.97							
01:32:22 p. m.	307.00	2.89							
