Hora	Tiempo(nSeg)	ECG(V)							
01:30:48 p. m.	165.00	2.71							
01:30:48 p. m.	166.00	2.69							
01:30:48 p. m.	167.00	2.72							
01:30:48 p. m.	168.00	2.75							
01:30:48 p. m.	169.00	2.76							
01:30:48 p. m.	170.00	2.5							
01:30:48 p. m.	171.00	3.27							
01:30:48 p. m.	172.00	2.82							
01:30:48 p. m.	173.00	2.85							
01:30:48 p. m.	174.00	2.87							
01:30:48 p. m.	175.00	2.69							
01:30:48 p. m.	176.00	2.8							
01:30:48 p. m.	177.00	2.74							
01:30:48 p. m.	178.00	3.15							
01:30:48 p. m.	179.00	1.57							
01:30:48 p. m.	180.00	0							
01:30:48 p. m.	181.00	0							
01:30:48 p. m.	182.00	5							
01:30:48 p. m.	183.00	3.18							
01:30:48 p. m.	184.00	1.69							
01:30:48 p. m.	185.00	3.33							
01:30:48 p. m.	186.00	2.87							
01:30:48 p. m.	187.00	2.43							
01:30:48 p. m.	188.00	3.5							
01:30:48 p. m.	189.00	2.76							
01:30:48 p. m.	190.00	2.75							
01:30:48 p. m.	191.00	2.8							
01:30:48 p. m.	192.00	2.72							
01:30:48 p. m.	193.00	2.92							
01:30:48 p. m.	194.00	2.71							
01:30:48 p. m.	195.00	2.74							
01:30:48 p. m.	196.00	2.76							
01:30:49 p. m.	197.00	2.91							
01:30:49 p. m.	198.00	2.82							
01:30:49 p. m.	199.00	2.64							
01:30:49 p. m.	200.00	2.77							
01:30:49 p. m.	201.00	2.76							
01:30:49 p. m.	202.00	2.74							
01:30:49 p. m.	203.00	2.82							
01:30:49 p. m.	204.00	2.92							
01:30:49 p. m.	205.00	2.81							
01:30:49 p. m.	206.00	0.51							
01:30:49 p. m.	207.00	2.28							
01:30:49 p. m.	208.00	2.76							
01:30:49 p. m.	209.00	3.19							
01:30:49 p. m.	210.00	3.27							
01:30:49 p. m.	211.00	2.78							
01:30:49 p. m.	212.00	2.67							
01:30:49 p. m.	213.00	2.75							
01:30:49 p. m.	214.00	2.8							
01:30:49 p. m.	215.00	2.8							
01:30:49 p. m.	216.00	2.72							
01:30:49 p. m.	217.00	2.76							
01:30:49 p. m.	218.00	2.76							
01:30:49 p. m.	219.00	2.75							
01:30:49 p. m.	220.00	2.79							
01:30:49 p. m.	221.00	2.83							
01:30:49 p. m.	222.00	2.82							
01:30:49 p. m.	223.00	2.78							
01:30:49 p. m.	224.00	2.84							
01:30:49 p. m.	225.00	2.85							
01:30:49 p. m.	226.00	2.77							
01:30:49 p. m.	227.00	2.72							
01:30:49 p. m.	228.00	2.72							
01:30:49 p. m.	229.00	2.78							
01:30:49 p. m.	230.00	2.85							
01:30:49 p. m.	231.00	2.75							
01:30:49 p. m.	232.00	2.77							
01:30:49 p. m.	233.00	2.85							
01:30:49 p. m.	234.00	2.85							
01:30:49 p. m.	235.00	2.91							
01:30:49 p. m.	236.00	1.95							
01:30:49 p. m.	237.00	1							
01:30:49 p. m.	238.00	1.73							
01:30:49 p. m.	239.00	2.32							
01:30:49 p. m.	240.00	2.64							
01:30:49 p. m.	241.00	3.02							
01:30:49 p. m.	242.00	2.81							
01:30:49 p. m.	243.00	2.87							
01:30:49 p. m.	244.00	2.56							
01:30:50 p. m.	245.00	3.01							
01:30:50 p. m.	246.00	2.74							
01:30:50 p. m.	247.00	2.72							
01:30:50 p. m.	248.00	2.74							
01:30:50 p. m.	249.00	2.73							
01:30:50 p. m.	250.00	2.74							
01:30:50 p. m.	251.00	2.84							
01:30:50 p. m.	252.00	2.76							
01:30:50 p. m.	253.00	2.86							
01:30:50 p. m.	254.00	2.86							
01:30:50 p. m.	255.00	2.79							
01:30:50 p. m.	256.00	2.58							
01:30:50 p. m.	257.00	1.72							
01:30:50 p. m.	258.00	1.94							
01:30:50 p. m.	259.00	2.59							
01:30:50 p. m.	260.00	3.93							
01:30:50 p. m.	261.00	1.77							
01:30:50 p. m.	262.00	0							
01:30:50 p. m.	263.00	3.66							
01:30:50 p. m.	264.00	2.86							
01:30:50 p. m.	265.00	2.8							
01:30:50 p. m.	266.00	2.81							
01:30:50 p. m.	267.00	3.05							
01:30:50 p. m.	268.00	2.78							
01:30:50 p. m.	269.00	2.87							
01:30:50 p. m.	270.00	2.63							
01:30:50 p. m.	271.00	2.9							
01:30:50 p. m.	272.00	2.85							
01:30:50 p. m.	273.00	2.86							
01:30:50 p. m.	274.00	2.99							
01:30:50 p. m.	275.00	2.78							
01:30:50 p. m.	276.00	2.74							
01:30:50 p. m.	277.00	2.73							
01:30:50 p. m.	278.00	2.75							
01:30:50 p. m.	279.00	2.85							
01:30:50 p. m.	280.00	2.8							
01:30:50 p. m.	281.00	2.81							
01:30:50 p. m.	282.00	2.99							
01:30:50 p. m.	283.00	3.23							
01:30:50 p. m.	284.00	3.35							
01:30:50 p. m.	285.00	4.51							
01:30:50 p. m.	286.00	0.35							
01:30:50 p. m.	287.00	4.79							
01:30:50 p. m.	288.00	3.58							
01:30:50 p. m.	289.00	2.86							
01:30:50 p. m.	290.00	2.78							
01:30:50 p. m.	291.00	2.66							
01:30:50 p. m.	292.00	2.5							
01:30:51 p. m.	293.00	2.89							
01:30:51 p. m.	294.00	2.65							
01:30:51 p. m.	295.00	2.88							
01:30:51 p. m.	296.00	2.77							
01:30:51 p. m.	297.00	2.75							
01:30:51 p. m.	298.00	2.96							
01:30:51 p. m.	299.00	2.88							
01:30:51 p. m.	300.00	2.76							
01:30:51 p. m.	301.00	2.79							
01:30:51 p. m.	302.00	2.81							
01:30:51 p. m.	303.00	2.74							
01:30:51 p. m.	304.00	2.95							
01:30:51 p. m.	305.00	2.77							
01:30:51 p. m.	306.00	2.65							
01:30:51 p. m.	307.00	2.82							
01:30:51 p. m.	308.00	2.42							
01:30:51 p. m.	309.00	3.45							
01:30:51 p. m.	310.00	3.28							
01:30:51 p. m.	311.00	1.92							
01:30:51 p. m.	312.00	0.52							
01:30:51 p. m.	313.00	0							
01:30:51 p. m.	314.00	2.78							
01:30:51 p. m.	315.00	2.8							
01:30:51 p. m.	316.00	2.72							
01:30:51 p. m.	317.00	3.23							
01:30:51 p. m.	318.00	2.42							
01:30:51 p. m.	319.00	2.65							
01:30:51 p. m.	320.00	3.13							
01:30:51 p. m.	321.00	2.88							
01:30:51 p. m.	322.00	2.81							
01:30:51 p. m.	323.00	2.75							
01:30:51 p. m.	324.00	2.75							
01:30:51 p. m.	325.00	2.6							
01:30:51 p. m.	326.00	2.69							
01:30:51 p. m.	327.00	2.74							
01:30:51 p. m.	328.00	2.79							
01:30:51 p. m.	329.00	2.13							
01:30:51 p. m.	330.00	3.26							
01:30:51 p. m.	331.00	4.04							
01:30:51 p. m.	332.00	2.07							
01:30:51 p. m.	333.00	2.9							
01:30:51 p. m.	334.00	2.85							
01:30:51 p. m.	335.00	2.78							
01:30:51 p. m.	336.00	3.11							
01:30:51 p. m.	337.00	2.83							
01:30:51 p. m.	338.00	1.08							
01:30:51 p. m.	339.00	5							
01:30:51 p. m.	340.00	0							
01:30:52 p. m.	341.00	0							
01:30:52 p. m.	342.00	3.65							
01:30:52 p. m.	343.00	2.8							
01:30:52 p. m.	344.00	2.33							
01:30:52 p. m.	345.00	2.55							
01:30:52 p. m.	346.00	2.55							
01:30:52 p. m.	347.00	3.05							
01:30:52 p. m.	348.00	2.94							
01:30:52 p. m.	349.00	2.69							
01:30:52 p. m.	350.00	2.72							
01:30:52 p. m.	351.00	2.76							
01:30:52 p. m.	352.00	2.81							
01:30:52 p. m.	353.00	2.84							
01:30:52 p. m.	354.00	2.74							
01:30:52 p. m.	355.00	2.72							
01:30:52 p. m.	356.00	2.76							
01:30:52 p. m.	357.00	3.18							
01:30:52 p. m.	358.00	2.42							
01:30:52 p. m.	359.00	1.36							
01:30:52 p. m.	360.00	3.56							
01:30:52 p. m.	361.00	4.18							
01:30:52 p. m.	362.00	5							
01:30:52 p. m.	363.00	3.63							
01:30:52 p. m.	364.00	2.83							
01:30:52 p. m.	365.00	2.36							
01:30:52 p. m.	366.00	2.66							
01:30:52 p. m.	367.00	2.65							
01:30:52 p. m.	368.00	2.59							
01:30:52 p. m.	369.00	3.18							
01:30:52 p. m.	370.00	2.53							
01:30:52 p. m.	371.00	2.87							
01:30:52 p. m.	372.00	2.72							
01:30:52 p. m.	373.00	2.75							
01:30:52 p. m.	374.00	2.71							
01:30:52 p. m.	375.00	2.76							
01:30:52 p. m.	376.00	2.88							
01:30:52 p. m.	377.00	2.94							
01:30:52 p. m.	378.00	2.54							
01:30:52 p. m.	379.00	3.8							
01:30:52 p. m.	380.00	2.66							
01:30:52 p. m.	381.00	2.89							
01:30:52 p. m.	382.00	2.75							
01:30:52 p. m.	383.00	2.83							
01:30:52 p. m.	384.00	2.52							
01:30:52 p. m.	385.00	2.78							
01:30:52 p. m.	386.00	2.7							
01:30:52 p. m.	387.00	2.58							
01:30:52 p. m.	388.00	1.86							
01:30:53 p. m.	389.00	3.83							
01:30:53 p. m.	390.00	1.74							
01:30:53 p. m.	391.00	1.73							
01:30:53 p. m.	392.00	0.75							
01:30:53 p. m.	393.00	0							
01:30:53 p. m.	394.00	3.63							
01:30:53 p. m.	395.00	2.62							
01:30:53 p. m.	396.00	2.2							
01:30:53 p. m.	397.00	2.63							
01:30:53 p. m.	398.00	2.84							
01:30:53 p. m.	399.00	2.48							
01:30:53 p. m.	400.00	2.87							
01:30:53 p. m.	401.00	2.73							
01:30:53 p. m.	402.00	2.75							
01:30:53 p. m.	403.00	2.72							
01:30:53 p. m.	404.00	2.81							
01:30:53 p. m.	405.00	2.83							
01:30:53 p. m.	406.00	2.72							
01:30:53 p. m.	407.00	2.8							
01:30:53 p. m.	408.00	2.74							
01:30:53 p. m.	409.00	2.81							
01:30:53 p. m.	410.00	2.71							
01:30:53 p. m.	411.00	3.53							
01:30:53 p. m.	412.00	2.64							
01:30:53 p. m.	413.00	2.19							
01:30:53 p. m.	414.00	2.62							
01:30:53 p. m.	415.00	0.97							
01:30:53 p. m.	416.00	0							
01:30:53 p. m.	417.00	0							
01:30:53 p. m.	418.00	0							
01:30:53 p. m.	419.00	0							
01:30:53 p. m.	420.00	3.72							
01:30:53 p. m.	421.00	3.11							
01:30:53 p. m.	422.00	2.84							
01:30:53 p. m.	423.00	2.43							
01:30:53 p. m.	424.00	2.88							
01:30:53 p. m.	425.00	2.87							
01:30:53 p. m.	426.00	2.74							
01:30:53 p. m.	427.00	2.92							
01:30:53 p. m.	428.00	2.69							
01:30:53 p. m.	429.00	2.72							
01:30:53 p. m.	430.00	2.87							
01:30:53 p. m.	431.00	2.7							
01:30:53 p. m.	432.00	2.76							
01:30:53 p. m.	433.00	2.75							
01:30:53 p. m.	434.00	2.8							
01:30:53 p. m.	435.00	2.81							
01:30:53 p. m.	436.00	2.79							
01:30:54 p. m.	437.00	2.84							
01:30:54 p. m.	438.00	3.02							
01:30:54 p. m.	439.00	3.14							
01:30:54 p. m.	440.00	2.97							
01:30:54 p. m.	441.00	0							
01:30:54 p. m.	442.00	5							
01:30:54 p. m.	443.00	5							
01:30:54 p. m.	444.00	2.47							
01:30:54 p. m.	445.00	1.05							
01:30:54 p. m.	446.00	3.35							
01:30:54 p. m.	447.00	2.77							
01:30:54 p. m.	448.00	2.75							
01:30:54 p. m.	449.00	2.5							
01:30:54 p. m.	450.00	2.88							
01:30:54 p. m.	451.00	2.78							
01:30:54 p. m.	452.00	2.85							
01:30:54 p. m.	453.00	2.61							
01:30:54 p. m.	454.00	2.7							
01:30:54 p. m.	455.00	2.82							
01:30:54 p. m.	456.00	2.77							
01:30:54 p. m.	457.00	2.72							
01:30:54 p. m.	458.00	2.81							
01:30:54 p. m.	459.00	2.63							
01:30:54 p. m.	460.00	2.88							
01:30:54 p. m.	461.00	2.81							
01:30:54 p. m.	462.00	2.88							
01:30:54 p. m.	463.00	2.8							
01:30:54 p. m.	464.00	2.77							
01:30:54 p. m.	465.00	2.77							
01:30:54 p. m.	466.00	2.72							
01:30:54 p. m.	467.00	2.91							
01:30:54 p. m.	468.00	4.13							
01:30:54 p. m.	469.00	5							
01:30:54 p. m.	470.00	5							
01:30:54 p. m.	471.00	4.2							
01:30:54 p. m.	472.00	5							
01:30:54 p. m.	473.00	3.3							
01:30:54 p. m.	474.00	2.93							
01:30:54 p. m.	475.00	2.74							
01:30:54 p. m.	476.00	2.64							
01:30:54 p. m.	477.00	2.78							
01:30:54 p. m.	478.00	2.58							
01:30:54 p. m.	479.00	2.54							
01:30:54 p. m.	480.00	2.78							
01:30:54 p. m.	481.00	2.7							
01:30:54 p. m.	482.00	2.78							
01:30:54 p. m.	483.00	2.86							
01:30:54 p. m.	484.00	2.79							
01:30:55 p. m.	485.00	2.78							
01:30:55 p. m.	486.00	2.89							
01:30:55 p. m.	487.00	2.9							
01:30:55 p. m.	488.00	2.81							
01:30:55 p. m.	489.00	2.78							
01:30:55 p. m.	490.00	2.6							
01:30:55 p. m.	491.00	2.65							
01:30:55 p. m.	492.00	2.76							
01:30:55 p. m.	493.00	2.88							
01:30:55 p. m.	494.00	2.02							
01:30:55 p. m.	495.00	5							
01:30:55 p. m.	496.00	5							
01:30:55 p. m.	497.00	2.79							
01:30:55 p. m.	498.00	3.21							
01:30:55 p. m.	499.00	2.59							
01:30:55 p. m.	500.00	2.94							
01:30:55 p. m.	501.00	3.39							
01:30:55 p. m.	502.00	2.57							
01:30:55 p. m.	503.00	3.78							
01:30:55 p. m.	504.00	2.92							
01:30:55 p. m.	505.00	2.63							
01:30:55 p. m.	506.00	2.65							
01:30:55 p. m.	507.00	2.94							
01:30:55 p. m.	508.00	2.75							
01:30:55 p. m.	509.00	2.76							
01:30:55 p. m.	510.00	2.78							
01:30:55 p. m.	511.00	2.74							
01:30:55 p. m.	512.00	2.85							
01:30:55 p. m.	513.00	2.7							
01:30:55 p. m.	514.00	2.73							
01:30:55 p. m.	515.00	2.77							
01:30:55 p. m.	516.00	2.76							
01:30:55 p. m.	517.00	2.88							
01:30:55 p. m.	518.00	2.79							
01:30:55 p. m.	519.00	3.51							
01:30:55 p. m.	520.00	3.15							
01:30:55 p. m.	521.00	0.17							
01:30:55 p. m.	522.00	0							
01:30:55 p. m.	523.00	5							
01:30:55 p. m.	524.00	2.89							
01:30:55 p. m.	525.00	0.96							
01:30:55 p. m.	526.00	2.99							
01:30:55 p. m.	527.00	2.73							
01:30:55 p. m.	528.00	3.22							
01:30:55 p. m.	529.00	2.74							
01:30:55 p. m.	530.00	2.7							
01:30:55 p. m.	531.00	2.42							
01:30:55 p. m.	532.00	2.4							
01:30:56 p. m.	533.00	2.96							
01:30:56 p. m.	534.00	2.99							
01:30:56 p. m.	535.00	2.76							
01:30:56 p. m.	536.00	2.81							
01:30:56 p. m.	537.00	2.76							
01:30:56 p. m.	538.00	2.74							
01:30:56 p. m.	539.00	2.16							
01:30:56 p. m.	540.00	2.69							
01:30:56 p. m.	541.00	2.74							
01:30:56 p. m.	542.00	2.76							
01:30:56 p. m.	543.00	2.82							
01:30:56 p. m.	544.00	2.67							
01:30:56 p. m.	545.00	3.03							
01:30:56 p. m.	546.00	2.83							
01:30:56 p. m.	547.00	3.23							
01:30:56 p. m.	548.00	3.12							
01:30:56 p. m.	549.00	4.13							
01:30:56 p. m.	550.00	4.41							
01:30:56 p. m.	551.00	5							
01:30:56 p. m.	552.00	5							
01:30:56 p. m.	553.00	4.27							
01:30:56 p. m.	554.00	3.15							
01:30:56 p. m.	555.00	3.09							
01:30:56 p. m.	556.00	2.82							
01:30:56 p. m.	557.00	2.83							
01:30:56 p. m.	558.00	2.69							
01:30:56 p. m.	559.00	2.74							
01:30:56 p. m.	560.00	2.83							
01:30:56 p. m.	561.00	2.85							
01:30:56 p. m.	562.00	2.95							
01:30:56 p. m.	563.00	2.68							
01:30:56 p. m.	564.00	2.83							
01:30:56 p. m.	565.00	2.73							
01:30:56 p. m.	566.00	2.76							
01:30:56 p. m.	567.00	2.74							
01:30:56 p. m.	568.00	2.61							
01:30:56 p. m.	569.00	2.75							
01:30:56 p. m.	570.00	2.93							
01:30:56 p. m.	571.00	2.72							
01:30:56 p. m.	572.00	2.81							
01:30:56 p. m.	573.00	2.58							
01:30:56 p. m.	574.00	2.99							
01:30:56 p. m.	575.00	3.07							
01:30:56 p. m.	576.00	2.71							
01:30:56 p. m.	577.00	3.98							
01:30:56 p. m.	578.00	0							
01:30:56 p. m.	579.00	0							
01:30:56 p. m.	580.00	2.64							
01:30:57 p. m.	581.00	2.42							
01:30:57 p. m.	582.00	2.65							
01:30:57 p. m.	583.00	3.06							
01:30:57 p. m.	584.00	2.6							
01:30:57 p. m.	585.00	2.53							
01:30:57 p. m.	586.00	2.48							
01:30:57 p. m.	587.00	3.15							
01:30:57 p. m.	588.00	2.78							
01:30:57 p. m.	589.00	2.92							
01:30:57 p. m.	590.00	2.75							
01:30:57 p. m.	591.00	2.83							
01:30:57 p. m.	592.00	2.72							
01:30:57 p. m.	593.00	2.84							
01:30:57 p. m.	594.00	2.61							
01:30:57 p. m.	595.00	2.61							
01:30:57 p. m.	596.00	2.73							
01:30:57 p. m.	597.00	2.88							
01:30:57 p. m.	598.00	2.92							
01:30:57 p. m.	599.00	2.63							
01:30:57 p. m.	600.00	2.7							
01:30:57 p. m.	601.00	2.72							
01:30:57 p. m.	602.00	2.54							
01:30:57 p. m.	603.00	3.35							
01:30:57 p. m.	604.00	5							
01:30:57 p. m.	605.00	1.44							
01:30:57 p. m.	606.00	0							
01:30:57 p. m.	607.00	5							
01:30:57 p. m.	608.00	3.07							
01:30:57 p. m.	609.00	2.87							
01:30:57 p. m.	610.00	2.61							
01:30:57 p. m.	611.00	2.78							
01:30:57 p. m.	612.00	2.78							
01:30:57 p. m.	613.00	2.83							
01:30:57 p. m.	614.00	2.87							
01:30:57 p. m.	615.00	2.61							
01:30:57 p. m.	616.00	2.82							
01:30:57 p. m.	617.00	2.57							
01:30:57 p. m.	618.00	2.66							
01:30:57 p. m.	619.00	2.72							
01:30:57 p. m.	620.00	2.83							
01:30:57 p. m.	621.00	2.87							
01:30:57 p. m.	622.00	2.71							
01:30:57 p. m.	623.00	2.75							
01:30:57 p. m.	624.00	2.77							
01:30:57 p. m.	625.00	2.78							
01:30:57 p. m.	626.00	2.67							
01:30:57 p. m.	627.00	2.76							
01:30:57 p. m.	628.00	3.21							
01:30:58 p. m.	629.00	1.46							
01:30:58 p. m.	630.00	0							
01:30:58 p. m.	631.00	2.9							
01:30:58 p. m.	632.00	5							
01:30:58 p. m.	633.00	5							
01:30:58 p. m.	634.00	3.2							
01:30:58 p. m.	635.00	3.17							
01:30:58 p. m.	636.00	2.88							
01:30:58 p. m.	637.00	2.83							
01:30:58 p. m.	638.00	2.74							
01:30:58 p. m.	639.00	2.78							
01:30:58 p. m.	640.00	2.84							
01:30:58 p. m.	641.00	2.88							
01:30:58 p. m.	642.00	2.69							
01:30:58 p. m.	643.00	3.02							
01:30:58 p. m.	644.00	2.75							
01:30:58 p. m.	645.00	2.94							
01:30:58 p. m.	646.00	2.7							
01:30:58 p. m.	647.00	2.73							
01:30:58 p. m.	648.00	2.8							
01:30:58 p. m.	649.00	2.83							
01:30:58 p. m.	650.00	2.75							
01:30:58 p. m.	651.00	2.82							
01:30:58 p. m.	652.00	2.9							
01:30:58 p. m.	653.00	1.27							
01:30:58 p. m.	654.00	2.59							
01:30:58 p. m.	655.00	4.46							
01:30:58 p. m.	656.00	3.94							
01:30:58 p. m.	657.00	3.8							
01:30:58 p. m.	658.00	5							
01:30:58 p. m.	659.00	3.12							
01:30:58 p. m.	660.00	3.05							
01:30:58 p. m.	661.00	2.73							
01:30:58 p. m.	662.00	2.65							
01:30:58 p. m.	663.00	2.56							
01:30:58 p. m.	664.00	2.99							
01:30:58 p. m.	665.00	2.96							
01:30:58 p. m.	666.00	2.57							
01:30:58 p. m.	667.00	2.68							
01:30:58 p. m.	668.00	2.68							
01:30:58 p. m.	669.00	2.77							
01:30:58 p. m.	670.00	2.71							
01:30:58 p. m.	671.00	2.76							
01:30:58 p. m.	672.00	2.74							
01:30:58 p. m.	673.00	2.8							
01:30:58 p. m.	674.00	2.72							
01:30:58 p. m.	675.00	2.96							
01:30:58 p. m.	676.00	2.77							
01:30:59 p. m.	677.00	2.86							
01:30:59 p. m.	678.00	2.77							
01:30:59 p. m.	679.00	2.77							
01:30:59 p. m.	680.00	2.7							
01:30:59 p. m.	681.00	3.71							
01:30:59 p. m.	682.00	5							
01:30:59 p. m.	683.00	5							
01:30:59 p. m.	684.00	5							
01:30:59 p. m.	685.00	1.48							
01:30:59 p. m.	686.00	1.5							
01:30:59 p. m.	687.00	5							
01:30:59 p. m.	688.00	3.88							
01:30:59 p. m.	689.00	2.91							
01:30:59 p. m.	690.00	2.91							
01:30:59 p. m.	691.00	2.71							
01:30:59 p. m.	692.00	2.77							
01:30:59 p. m.	693.00	3.02							
01:30:59 p. m.	694.00	2.46							
01:30:59 p. m.	695.00	3.46							
01:30:59 p. m.	696.00	2.7							
01:30:59 p. m.	697.00	2.7							
01:30:59 p. m.	698.00	2.74							
01:30:59 p. m.	699.00	2.79							
01:30:59 p. m.	700.00	2.77							
01:30:59 p. m.	701.00	2.72							
01:30:59 p. m.	702.00	2.85							
